Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,ExpProfit,Profit
437,Atlanta ,True,Atlanta Hawks o229.5 L,2026-02-19,141,-141,160,7.9,total,2226.7,L,176,-2226
438,Bryant ,False,Bryant ml L,2026-02-19,-109,109,123,16.3,moneyline,1003.1,L,164,-1003
439,Cal ,False,Cal State Northridge ml L,2026-02-19,115,-115,160,20.9,moneyline,770.7,W,161,1233
439,Cal ,False,Cal State Bakersfield +20.5 L,2026-02-19,100,-133,116,0.9,spread,643.3,L,6,-643
440,Cal ,True,Cal State Northridge o132.5 L,2026-02-19,-120,120,-152,-9.6,total,1121.4,W,-108,737
441,Detroit ,False,Detroit Pistons 2q ml L,2026-02-19,142,-142,163,8.7,moneyline,925.4,W,81,1508
442,Detroit ,True,Detroit Pistons o229.5 L,2026-02-19,214,-214,300,27.4,total,422.1,W,116,1266
442,Detroit ,True,Detroit Pistons o228.5 L,2026-02-19,204,-204,270,21.7,total,462.0,W,100,1247
443,Gardner ,True,Gardner Webb o153.5 L,2026-02-19,-108,108,120,14.2,total,627.2,L,89,-627
444,Hawaii ,False,Hawaii ml L,2026-02-19,-133,133,-112,8.0,moneyline,1402.1,L,112,-1402
445,Houston ,True,Houston Rockets o206.5 L,2026-02-19,152,-190,145,-7.6,total,980.0,L,-74,-980
446,Liberty ,False,Liberty ml L,2026-02-19,-166,166,-106,21.3,moneyline,1312.5,W,280,1238
446,Liberty ,False,Liberty ml L,2026-02-19,-166,166,-112,18.1,moneyline,1386.0,W,251,1237
447,Lindenwood ,False,Lindenwood ml L,2026-02-19,-181,181,-103,26.9,moneyline,1266.3,L,341,-1266
448,Marshall ,False,Marshall +10.5 L,2026-02-19,-115,115,104,9.1,spread,725.9,W,66,754
449,Marshall ,True,Marshall u162.5 L,2026-02-19,-107,107,110,8.6,total,685.3,L,59,-685
450,Memphis ,False,Memphis +15.5 L,2026-02-19,-104,104,125,14.7,spread,1960.0,L,288,-1960
450,Memphis ,False,Memphis +16.5 L,2026-02-19,-109,109,112,10.6,spread,2226.7,L,236,-2226
450,Memphis ,False,Memphis +16.5 L,2026-02-19,-129,129,-139,-3.1,spread,3503.5,L,-109,-3503
450,Memphis ,False,Memphis +18.5 L,2026-02-19,-103,103,120,11.6,spread,2041.2,L,237,-2041
451,Montana ,False,Montana State ml L,2026-02-19,351,-351,500,33.0,moneyline,246.4,L,81,-246
452,New ,False,New Haven ml L,2026-02-19,-170,170,-137,8.9,moneyline,1028.3,W,92,750
453,Orlando ,True,Orlando Magic o107.5 1h L,2026-02-19,-125,128,-110,6.7,total,1370.6,W,92,1245
454,Phoenix ,False,Phoenix Suns +24.5 L,2026-02-19,105,-125,118,1.9,spread,3110.8,L,59,-3110
455,Phoenix ,True,Phoenix Suns o232.5 L,2026-02-19,-125,125,-106,8.0,total,1738.8,L,139,-1738
455,Phoenix ,True,Phoenix Suns u227.5 L,2026-02-19,105,-105,125,9.8,total,1288.0,W,126,1610
455,Phoenix ,True,Phoenix Suns u223.5 L,2026-02-19,103,-103,140,18.2,total,1057.7,W,193,1480
455,Phoenix ,True,Phoenix Suns o217.5 L,2026-02-19,-148,148,140,43.2,total,1087.1,L,470,-1087
455,Phoenix ,True,Phoenix Suns o216.5 L,2026-02-19,-181,181,108,34.0,total,1370.6,L,466,-1370
455,Phoenix ,True,Phoenix Suns o215.5 L,2026-02-19,-227,227,-120,27.3,total,1805.3,L,493,-1805
455,Phoenix ,True,Phoenix Suns o214.5 L,2026-02-19,-200,200,-122,21.3,total,1805.3,W,385,1479
456,Presbyterian ,False,Presbyterian ml L,2026-02-19,104,-104,120,7.8,moneyline,616.7,W,48,740
457,Sacramento ,False,Sacramento Kings +20.5 L,2026-02-19,-109,109,105,6.9,spread,2349.9,L,162,-2349
458,USC ,False,USC Upstate +6.5 L,2026-02-19,-120,120,-139,-6.2,spread,695.1,W,-43,500
459,UT ,False,UT Martin ml L,2026-02-19,135,-135,190,23.4,moneyline,393.4,L,92,-393
460,Weber ,False,Weber State ml L,2026-02-19,-200,200,-175,4.8,moneyline,2127.3,W,102,1215
461,Rider ,False,Rider +5.5 L,2026-02-20,-117,117,118,17.5,spread,197.4,L,35,-197
